TITCK_ID,TITCK_Ilac_Adi,ATC_Barkod,ATC_Kodu,ATC_Durumu,Match Score
2,% 10 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU,8699788695045,B05BA03,Aktif,77.73
3,% 10 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU,8699788695045,B05BA03,Aktif,77.73
4,% 10 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU,8699788695045,B05BA03,Aktif,77.73
5,"% 17,5 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU",8699788695038,B05BA03,Aktif,80.12
6,"% 17,5 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU",8699788695038,B05BA03,Aktif,80.12
7,% 20 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU,8699788695045,B05BA03,Aktif,78.72
12,% 50 DEKSTROZ BİOSEL SUDAKİ HİPERTONİK SOLÜSYONU,8699788695069,B05BA03,Aktif,70.02
13,%0.9 İZOTONİK SODYUM KLORÜR SOLÜSYONU,8699788690453,B05XA03,Pasif,70.05
14,%0.9 İZOTONİK SODYUM KLORÜR SOLÜSYONU,8699788690453,B05XA03,Pasif,70.05
25,"%5 DEKSTROZ , %0.45 SODYUM KLORÜR, %0.3 POTASYUM KLORÜR BIOSEL ENJEKTABL SOLÜSYONU",8699788690132,B05BB02,Aktif,77.09
28,%5 DEKSTROZ %0.45 SODYUM KLORÜR BİOSEL SOLÜSYONU,8699788690132,B05BB02,Aktif,71.35
31,%5 DEKSTROZ BIOSEL SUDAKI SOLÜSYONU,8699788690903,B05BA03,Aktif,73.17
43,5-FLUOROURACIL 1000 MG/20 ML ENJEKTABL ÇÖZELTI IÇEREN FLAKON,8699510770125,L01BC02,Pasif,90.28
44,5-FLUOROURACIL 500 MG/10 ML ENJEKTABL ÇÖZELTI IÇEREN FLAKON,8699510770125,L01BC02,Pasif,84.19
45,5-FLUOROURACIL BIOSYN 1000 MG/20 ML AMPUL,8699205770034,L01BC02,Pasif,89.09
46,5-FLUOROURACIL BIOSYN 250 MG/5 ML AMPUL,8699205770034,L01BC02,Pasif,86.59
47,5-FLUOROURACIL BIOSYN 500 MG/10 ML AMPUL,8699643750056,L01BC02,Pasif,86.59
48,5-Frotu 1000 mg/20 ml Enjeksiyonluk Çözelti İçeren Flakon,8699650772331,L01BC02,Pasif,83.54
49,5-FROTU 500 MG/10 ML ENJEKSİYONLUK ÇÖZELTİ,8699650772331,L01BC02,Pasif,82.6
50,5-Frotu 5000 mg/100 ml Enjeksiyonluk Çözelti İçeren Flakon,8699650772331,L01BC02,Pasif,84.2
58,A-FERİN ZERO 120 MG/5 ML PEDİATRİK ŞURUP,8699570570246,N02BE01,Aktif,82.35
59,A-FERİN ZERO 6 PLUS 250 MG/5 ML ORAL SüSPANSIYON,8699570700094,N02BE01,Aktif,89.03
64,"ABALEVO 1,5 MG TABLET",8681725054770,G03AD01,Aktif,98.87
69,ABETYL 250 MG TABLET,8699514011606,L02BX03,Aktif,75.98
70,ABETYL 500 MG FILM KAPLı TABLET,8699514096641,L02BX03,Aktif,86.77
75,ABİLİFY 10 MG TABLET,8680683010149,N05AX12,Aktif,72.88
76,ABİLİFY 15 MG TABLET,8680683010156,N05AX12,Aktif,73.31
77,ABİLİFY 30 MG TABLET,8680683010163,N05AX12,Aktif,72.95
78,ABİLİFY 5 MG TABLET,8680683010132,N05AX12,Aktif,72.68
79,ABILIFY 7.5MG/ML IM ENJEKSIYONLUK ÇÖZELTI İÇEREN FLAKON,8680683010132,N05AX12,Aktif,78.36
80,ABİLİFY MAİNTENA 300 MG UZUN SALIMLI İM ENJEKSIYONLUK FLAKON,8680683780028,N05AX12,Aktif,74.07
81,ABİLİFY MAİNTENA 400 MG UZUN SALIMLI İM ENJEKSIYONLUK FLAKON,8680683780028,N05AX12,Aktif,76.04
82,ABIRATEX 250 MG TABLET,8699541015349,L02BX03,Pasif,88.28
